iter	Passed	Remaining
0	27	27424
1	49	24822
2	68	22769
3	90	22572
4	112	22353
5	133	22170
6	154	21852
7	174	21603
8	194	21405
9	213	21093
10	234	21106
11	256	21151
12	275	20893
13	295	20823
14	315	20688
15	335	20658
16	358	20710
17	376	20514
18	395	20427
19	412	20230
20	434	20258
21	453	20178
22	475	20198
23	494	20109
24	513	20018
25	535	20044
26	554	19975
27	573	19923
28	593	19863
29	612	19809
30	629	19685
31	651	19693
32	669	19618
33	689	19597
34	709	19554
35	727	19471
36	747	19455
37	766	19406
38	785	19365
39	806	19367
40	829	19395
41	846	19315
42	867	19313
43	890	19344
44	910	19330
45	931	19320
46	953	19328
47	973	19311
48	992	19269
49	1013	19264
50	1034	19241
51	1054	19220
52	1074	19199
53	1091	19123
54	1110	19072
55	1129	19043
56	1151	19046
57	1171	19030
58	1192	19020
59	1212	18990
60	1233	18980
61	1253	18961
62	1273	18943
63	1294	18937
64	1312	18883
65	1332	18860
66	1352	18837
67	1373	18822
68	1395	18834
69	1413	18784
70	1431	18736
71	1451	18713
72	1471	18690
73	1491	18666
74	1513	18663
75	1533	18646
76	1554	18633
77	1572	18587
78	1592	18570
79	1609	18511
80	1630	18498
81	1651	18489
82	1673	18485
83	1694	18473
84	1714	18452
85	1733	18423
86	1753	18396
87	1770	18353
88	1789	18318
89	1809	18299
90	1830	18280
91	1851	18273
92	1869	18232
93	1890	18219
94	1912	18221
95	1933	18208
96	1952	18177
97	1974	18176
98	1997	18183
99	2022	18198
100	2043	18187
101	2063	18164
102	2083	18141
103	2104	18126
104	2122	18095
105	2143	18081
106	2165	18072
107	2185	18049
108	2205	18031
109	2225	18003
110	2244	17973
111	2264	17950
112	2283	17924
113	2303	17904
114	2323	17882
115	2342	17849
116	2359	17806
117	2381	17799
118	2401	17777
119	2421	17759
120	2441	17737
121	2462	17718
122	2479	17679
123	2496	17636
124	2513	17595
125	2534	17579
126	2555	17567
127	2573	17533
128	2593	17512
129	2613	17490
130	2632	17461
131	2650	17429
132	2669	17402
133	2691	17393
134	2711	17373
135	2731	17351
136	2752	17338
137	2771	17312
138	2792	17298
139	2812	17275
140	2830	17246
141	2850	17224
142	2871	17207
143	2893	17199
144	2912	17174
145	2932	17152
146	2951	17124
147	2971	17107
148	2992	17089
149	3013	17075
150	3033	17057
151	3054	17039
152	3074	17021
153	3091	16985
154	3110	16954
155	3128	16927
156	3149	16910
157	3169	16890
158	3188	16865
159	3207	16841
160	3228	16822
161	3246	16794
162	3266	16774
163	3285	16749
164	3306	16731
165	3327	16715
166	3346	16690
167	3366	16673
168	3385	16645
169	3405	16627
170	3424	16602
171	3446	16589
172	3467	16575
173	3487	16553
174	3509	16544
175	3531	16534
176	3550	16510
177	3568	16479
178	3586	16450
179	3609	16443
180	3629	16425
181	3649	16400
182	3669	16381
183	3687	16354
184	3707	16334
185	3728	16316
186	3748	16298
187	3768	16277
188	3786	16249
189	3806	16229
190	3825	16203
191	3845	16183
192	3864	16159
193	3883	16134
194	3902	16111
195	3922	16090
196	3942	16068
197	3960	16043
198	3977	16011
199	3997	15990
200	4015	15960
201	4034	15938
202	4054	15919
203	4074	15898
204	4092	15870
205	4110	15842
206	4126	15809
207	4145	15783
208	4163	15756
209	4183	15738
210	4202	15714
211	4222	15693
212	4243	15677
213	4262	15656
214	4281	15633
215	4300	15608
216	4321	15595
217	4342	15576
218	4363	15559
219	4385	15547
220	4403	15520
221	4424	15506
222	4447	15495
223	4467	15475
224	4487	15456
225	4507	15435
226	4529	15424
227	4548	15400
228	4568	15382
229	4587	15359
230	4606	15335
231	4624	15310
232	4644	15288
233	4664	15269
234	4683	15247
235	4702	15222
236	4721	15201
237	4739	15174
238	4760	15157
239	4779	15135
240	4800	15119
241	4820	15098
242	4838	15072
243	4857	15051
244	4876	15026
245	4896	15009
246	4911	14974
247	4931	14953
248	4951	14933
249	4969	14907
250	4986	14880
251	5007	14862
252	5028	14846
253	5050	14832
254	5068	14807
255	5088	14788
256	5104	14758
257	5125	14741
258	5147	14728
259	5169	14712
260	5191	14697
261	5211	14680
262	5231	14659
263	5252	14643
264	5270	14617
265	5287	14590
266	5307	14570
267	5328	14554
268	5347	14530
269	5367	14511
270	5387	14492
271	5406	14469
272	5427	14452
273	5446	14430
274	5464	14406
275	5482	14381
276	5502	14360
277	5518	14332
278	5536	14308
279	5557	14289
280	5576	14268
281	5595	14247
282	5616	14229
283	5636	14209
284	5655	14188
285	5673	14164
286	5693	14143
287	5711	14119
288	5730	14098
289	5751	14081
290	5770	14058
291	5791	14042
292	5810	14020
293	5831	14004
294	5852	13986
295	5871	13964
296	5889	13939
297	5908	13917
298	5926	13894
299	5946	13875
300	5967	13857
301	5986	13837
302	6006	13815
303	6027	13800
304	6048	13783
305	6069	13765
306	6088	13744
307	6109	13727
308	6129	13706
309	6147	13683
310	6164	13658
311	6185	13639
312	6203	13615
313	6221	13591
314	6240	13571
315	6261	13552
316	6282	13535
317	6301	13514
318	6320	13492
319	6341	13476
320	6362	13457
321	6381	13437
322	6401	13417
323	6424	13404
324	6444	13385
325	6464	13364
326	6484	13345
327	6501	13320
328	6520	13298
329	6540	13278
330	6560	13258
331	6581	13241
332	6602	13224
333	6621	13203
334	6640	13182
335	6658	13158
336	6679	13141
337	6700	13123
338	6718	13099
339	6739	13082
340	6759	13063
341	6778	13042
342	6798	13022
343	6817	13000
344	6836	12979
345	6854	12955
346	6872	12933
347	6893	12915
348	6912	12894
349	6931	12872
350	6948	12848
351	6970	12831
352	6988	12809
353	7007	12788
354	7027	12768
355	7047	12749
356	7067	12729
357	7086	12708
358	7108	12691
359	7126	12669
360	7149	12655
361	7166	12631
362	7185	12608
363	7205	12590
364	7224	12568
365	7245	12550
366	7264	12530
367	7283	12509
368	7305	12491
369	7326	12475
370	7349	12459
371	7371	12444
372	7392	12425
373	7410	12403
374	7430	12383
375	7451	12366
376	7472	12348
377	7494	12332
378	7512	12310
379	7531	12288
380	7551	12269
381	7574	12254
382	7593	12233
383	7614	12214
384	7633	12193
385	7653	12173
386	7673	12154
387	7695	12137
388	7713	12116
389	7734	12097
390	7754	12078
391	7774	12058
392	7794	12038
393	7811	12015
394	7831	11994
395	7851	11975
396	7872	11956
397	7892	11937
398	7912	11918
399	7932	11898
400	7951	11878
401	7971	11858
402	7993	11841
403	8014	11822
404	8035	11804
405	8058	11789
406	8079	11772
407	8099	11752
408	8118	11731
409	8138	11711
410	8158	11691
411	8176	11669
412	8195	11647
413	8214	11627
414	8236	11610
415	8255	11589
416	8272	11566
417	8292	11546
418	8314	11529
419	8333	11508
420	8352	11487
421	8371	11466
422	8391	11446
423	8409	11424
424	8429	11404
425	8448	11383
426	8470	11366
427	8491	11348
428	8512	11329
429	8531	11309
430	8551	11289
431	8571	11269
432	8589	11247
433	8610	11229
434	8630	11209
435	8651	11191
436	8670	11170
437	8688	11148
438	8710	11130
439	8731	11113
440	8748	11089
441	8767	11068
442	8788	11049
443	8808	11030
444	8829	11011
445	8848	10991
446	8867	10969
447	8886	10949
448	8903	10926
449	8923	10906
450	8943	10886
451	8963	10866
452	8983	10847
453	9004	10829
454	9025	10810
455	9043	10788
456	9063	10768
457	9083	10749
458	9106	10733
459	9125	10712
460	9142	10689
461	9162	10670
462	9182	10649
463	9201	10629
464	9221	10609
465	9237	10585
466	9258	10566
467	9279	10548
468	9299	10529
469	9320	10510
470	9341	10491
471	9362	10472
472	9381	10452
473	9401	10433
474	9422	10414
475	9444	10396
476	9462	10375
477	9482	10355
478	9501	10334
479	9521	10315
480	9543	10297
481	9563	10277
482	9584	10258
483	9605	10240
484	9622	10217
485	9641	10196
486	9660	10176
487	9679	10155
488	9697	10134
489	9716	10113
490	9735	10092
491	9757	10075
492	9774	10052
493	9793	10031
494	9814	10012
495	9833	9991
496	9854	9973
497	9873	9952
498	9895	9935
499	9917	9917
500	9937	9897
501	9957	9878
502	9978	9859
503	9999	9840
504	10016	9818
505	10034	9796
506	10053	9775
507	10073	9756
508	10095	9738
509	10114	9717
510	10133	9696
511	10152	9676
512	10170	9654
513	10189	9634
514	10209	9614
515	10230	9596
516	10249	9575
517	10270	9556
518	10293	9539
519	10315	9522
520	10334	9501
521	10353	9481
522	10370	9458
523	10388	9436
524	10408	9417
525	10426	9395
526	10445	9374
527	10465	9355
528	10487	9337
529	10506	9316
530	10526	9297
531	10546	9278
532	10567	9259
533	10586	9237
534	10605	9217
535	10625	9198
536	10645	9178
537	10666	9159
538	10686	9139
539	10706	9120
540	10727	9101
541	10747	9081
542	10766	9061
543	10784	9040
544	10806	9021
545	10824	9000
546	10842	8978
547	10864	8961
548	10885	8942
549	10903	8921
550	10921	8900
551	10942	8880
552	10959	8859
553	10978	8838
554	10999	8819
555	11019	8799
556	11040	8780
557	11062	8762
558	11081	8741
559	11102	8723
560	11122	8703
561	11143	8684
562	11166	8667
563	11184	8645
564	11204	8626
565	11222	8605
566	11241	8584
567	11260	8564
568	11278	8543
569	11297	8522
570	11316	8502
571	11337	8483
572	11356	8462
573	11376	8442
574	11396	8423
575	11417	8404
576	11436	8384
577	11454	8362
578	11474	8343
579	11495	8324
580	11517	8306
581	11536	8285
582	11556	8266
583	11578	8247
584	11594	8225
585	11613	8204
586	11631	8183
587	11651	8164
588	11672	8145
589	11694	8126
590	11715	8107
591	11734	8086
592	11752	8066
593	11770	8045
594	11789	8025
595	11808	8004
596	11828	7984
597	11847	7964
598	11868	7945
599	11886	7924
600	11908	7906
601	11925	7884
602	11944	7863
603	11963	7843
604	11984	7824
605	12002	7803
606	12021	7783
607	12040	7763
608	12058	7741
609	12077	7721
610	12101	7704
611	12123	7686
612	12144	7666
613	12164	7647
614	12183	7627
615	12201	7606
616	12220	7585
617	12240	7566
618	12260	7546
619	12278	7525
620	12297	7505
621	12317	7485
622	12337	7465
623	12357	7445
624	12376	7425
625	12395	7405
626	12416	7386
627	12436	7367
628	12454	7346
629	12474	7326
630	12494	7306
631	12513	7286
632	12534	7266
633	12552	7246
634	12572	7226
635	12591	7206
636	12610	7186
637	12631	7167
638	12649	7146
639	12667	7125
640	12688	7106
641	12708	7086
642	12730	7068
643	12748	7047
644	12768	7027
645	12788	7008
646	12808	6988
647	12830	6969
648	12851	6950
649	12868	6928
650	12887	6909
651	12906	6888
652	12926	6869
653	12944	6848
654	12963	6827
655	12983	6808
656	13004	6789
657	13025	6769
658	13050	6752
659	13071	6734
660	13091	6714
661	13113	6695
662	13131	6674
663	13151	6654
664	13168	6633
665	13188	6614
666	13210	6595
667	13228	6574
668	13249	6555
669	13268	6535
670	13291	6516
671	13310	6496
672	13330	6477
673	13350	6457
674	13369	6437
675	13390	6417
676	13413	6399
677	13433	6379
678	13453	6360
679	13471	6339
680	13490	6319
681	13511	6300
682	13531	6280
683	13550	6260
684	13572	6241
685	13594	6222
686	13614	6202
687	13633	6182
688	13652	6162
689	13674	6143
690	13694	6123
691	13714	6104
692	13732	6083
693	13754	6064
694	13773	6044
695	13794	6025
696	13816	6006
697	13838	5987
698	13857	5967
699	13878	5947
700	13898	5928
701	13919	5908
702	13939	5889
703	13960	5869
704	13981	5850
705	14002	5831
706	14023	5811
707	14044	5792
708	14061	5771
709	14080	5751
710	14100	5731
711	14115	5709
712	14135	5689
713	14155	5669
714	14172	5649
715	14194	5630
716	14214	5610
717	14233	5590
718	14251	5569
719	14269	5549
720	14287	5528
721	14304	5507
722	14326	5488
723	14346	5469
724	14366	5449
