iter	Passed	Remaining
0	5	16643
1	10	15174
2	14	14427
3	18	14217
4	23	13954
5	27	13680
6	31	13444
7	35	13256
8	39	13118
9	43	13010
10	47	12920
11	51	12817
12	55	12722
13	59	12649
14	63	12587
15	67	12524
16	71	12466
17	74	12422
18	78	12379
19	82	12341
20	86	12303
21	90	12272
22	94	12262
23	98	12232
24	102	12204
25	106	12189
26	110	12172
27	114	12156
28	118	12142
29	122	12129
30	126	12113
31	130	12101
32	134	12091
33	138	12073
34	142	12061
35	146	12051
36	150	12039
37	154	12031
38	158	12025
39	162	12010
40	166	12002
41	170	11988
42	174	11982
43	178	11993
44	182	12015
45	187	12010
46	191	12012
47	195	12013
48	199	12006
49	203	12000
50	207	11992
51	211	11985
52	215	11981
53	219	11974
54	223	11970
55	227	11975
56	231	11977
57	236	11971
58	240	11966
59	244	11958
60	248	11957
61	252	11954
62	256	11955
63	260	11950
64	264	11956
65	268	11950
66	272	11947
67	276	11941
68	280	11936
69	285	11934
70	289	11926
71	293	11936
72	297	11929
73	301	11923
74	305	11918
75	309	11912
76	313	11910
77	317	11908
78	321	11902
79	326	11899
80	330	11893
81	334	11889
82	338	11884
83	342	11880
84	346	11873
85	350	11867
86	354	11868
87	358	11861
88	362	11855
89	366	11850
90	370	11844
91	374	11841
92	378	11835
93	382	11830
94	386	11825
95	390	11820
96	395	11822
97	399	11816
98	403	11811
99	407	11805
100	411	11800
101	415	11796
102	419	11791
103	423	11786
104	427	11784
105	432	11799
106	436	11813
107	441	11825
108	446	11836
109	450	11846
110	455	11856
111	460	11866
112	464	11875
113	469	11884
114	474	11893
115	478	11903
116	483	11912
117	488	11921
118	492	11930
119	497	11944
120	502	11952
121	507	11960
122	511	11967
123	516	11974
124	520	11982
125	525	11989
126	530	11995
127	534	12001
128	539	12008
129	544	12014
130	548	12019
131	553	12024
132	558	12030
133	562	12035
134	567	12040
135	571	12045
136	576	12050
137	581	12057
138	585	12061
139	590	12066
140	595	12071
141	600	12080
142	604	12083
143	609	12087
144	614	12090
145	618	12094
146	623	12097
147	627	12100
148	632	12103
149	637	12107
150	641	12110
151	646	12112
152	651	12115
153	655	12118
154	660	12121
155	665	12123
156	669	12126
157	674	12129
158	678	12131
159	683	12139
160	688	12141
161	693	12142
162	697	12144
163	702	12146
164	707	12148
165	711	12150
166	716	12152
167	721	12155
168	725	12156
169	730	12157
170	735	12159
171	739	12161
172	744	12162
173	748	12164
174	753	12164
175	758	12165
176	762	12166
177	767	12167
178	772	12168
179	776	12169
180	781	12170
181	786	12171
182	790	12171
183	795	12171
184	799	12172
185	804	12172
186	809	12173
187	813	12173
188	818	12174
189	823	12174
190	827	12174
191	832	12175
192	837	12177
193	841	12178
194	846	12177
195	851	12177
196	855	12177
197	860	12178
198	865	12177
199	869	12177
200	874	12176
201	879	12176
202	883	12175
203	888	12175
204	892	12174
205	897	12173
206	902	12173
207	906	12172
208	911	12172
209	916	12172
210	920	12172
211	925	12171
212	930	12170
213	934	12169
214	939	12169
215	944	12167
216	948	12167
217	953	12166
218	957	12165
219	962	12163
220	967	12162
221	971	12161
222	976	12160
223	981	12159
224	985	12159
225	990	12158
226	995	12157
227	1000	12159
228	1004	12157
229	1009	12156
230	1014	12155
231	1018	12153
232	1023	12151
233	1027	12150
234	1032	12148
235	1037	12146
236	1041	12145
237	1046	12143
238	1051	12141
239	1055	12140
240	1060	12139
241	1064	12137
242	1069	12135
243	1074	12134
244	1078	12132
245	1083	12131
246	1088	12130
247	1092	12128
248	1097	12126
249	1102	12124
250	1106	12122
251	1111	12120
252	1116	12120
253	1120	12118
254	1125	12116
255	1130	12114
256	1134	12113
257	1139	12112
258	1144	12110
259	1149	12108
260	1153	12106
261	1158	12104
262	1162	12101
263	1167	12099
264	1172	12098
265	1176	12096
266	1181	12094
267	1186	12092
268	1190	12090
269	1195	12088
270	1200	12086
271	1204	12084
272	1209	12082
273	1214	12080
274	1218	12078
275	1223	12076
276	1228	12074
277	1232	12071
278	1237	12069
279	1242	12066
280	1246	12064
281	1251	12062
282	1256	12060
283	1260	12057
284	1265	12055
285	1270	12053
286	1274	12050
287	1279	12048
288	1284	12046
289	1288	12044
290	1293	12041
291	1298	12039
292	1302	12037
293	1307	12034
294	1312	12031
295	1316	12029
296	1321	12026
297	1326	12024
298	1330	12021
299	1335	12019
300	1340	12016
301	1344	12014
302	1349	12011
303	1354	12008
304	1358	12006
305	1363	12003
306	1368	12001
307	1372	11998
308	1377	11996
309	1382	11994
310	1387	11992
311	1391	11991
312	1396	11984
313	1400	11976
314	1404	11968
315	1408	11960
316	1412	11953
317	1416	11946
318	1420	11938
319	1424	11930
320	1428	11924
321	1432	11915
322	1436	11908
323	1440	11900
324	1444	11892
325	1448	11884
326	1452	11876
327	1457	11869
328	1461	11861
329	1465	11853
330	1469	11846
331	1473	11839
332	1477	11831
333	1481	11823
334	1485	11816
335	1489	11809
336	1493	11801
337	1497	11794
338	1501	11787
339	1505	11779
340	1509	11771
341	1513	11764
342	1517	11757
343	1521	11749
344	1525	11741
345	1529	11734
346	1533	11727
347	1537	11719
348	1541	11712
349	1545	11705
350	1549	11697
351	1554	11690
352	1558	11684
353	1562	11676
354	1566	11669
355	1570	11661
356	1574	11654
357	1578	11647
358	1582	11640
359	1586	11633
360	1590	11626
361	1594	11619
362	1598	11612
363	1602	11604
364	1606	11598
365	1610	11590
366	1614	11585
367	1618	11578
368	1623	11572
369	1627	11565
370	1631	11558
371	1635	11552
372	1639	11545
373	1643	11538
374	1647	11531
375	1651	11524
376	1655	11519
377	1659	11512
378	1663	11506
379	1667	11500
380	1672	11493
381	1675	11484
382	1679	11477
383	1683	11471
384	1687	11464
385	1691	11457
386	1696	11451
387	1700	11444
388	1704	11438
389	1708	11432
390	1712	11425
391	1716	11418
392	1720	11412
393	1724	11405
394	1728	11398
395	1732	11391
396	1736	11386
397	1740	11380
398	1744	11374
399	1748	11367
400	1752	11360
401	1756	11354
402	1760	11347
403	1764	11341
404	1769	11336
405	1773	11329
406	1777	11323
407	1781	11317
408	1785	11311
409	1789	11304
410	1793	11298
411	1797	11292
412	1801	11286
413	1806	11281
414	1810	11274
415	1814	11268
416	1818	11262
417	1822	11256
418	1826	11250
419	1830	11244
420	1834	11237
421	1838	11231
422	1842	11225
423	1846	11218
424	1850	11214
425	1854	11207
426	1858	11201
427	1862	11195
428	1867	11189
429	1871	11183
430	1875	11177
431	1879	11171
432	1883	11165
433	1887	11158
434	1891	11152
435	1895	11147
436	1899	11142
437	1903	11136
438	1907	11130
439	1912	11124
440	1916	11118
441	1920	11114
442	1924	11109
443	1928	11103
444	1932	11096
445	1936	11091
446	1940	11085
447	1944	11078
448	1948	11073
449	1952	11066
450	1957	11061
451	1961	11055
452	1965	11049
453	1969	11042
454	1973	11036
455	1977	11030
456	1981	11024
457	1985	11018
458	1989	11012
459	1993	11006
460	1997	11000
461	2001	10995
462	2005	10989
463	2009	10983
464	2013	10977
465	2017	10971
466	2022	10967
467	2026	10961
468	2030	10956
469	2034	10950
470	2038	10944
471	2042	10938
472	2046	10933
473	2050	10927
474	2054	10921
475	2058	10915
476	2062	10910
477	2066	10902
478	2070	10896
479	2074	10890
480	2078	10886
481	2082	10881
482	2086	10875
483	2091	10869
484	2095	10864
485	2099	10858
486	2103	10852
487	2107	10847
488	2111	10842
489	2115	10836
490	2119	10831
491	2123	10826
492	2127	10821
493	2131	10815
494	2136	10809
495	2140	10804
496	2144	10798
497	2148	10792
498	2152	10787
499	2156	10781
500	2160	10776
501	2164	10769
502	2168	10763
503	2172	10758
504	2176	10752
505	2180	10747
506	2184	10741
507	2188	10736
508	2192	10730
509	2196	10725
510	2200	10719
511	2204	10714
512	2209	10710
513	2213	10704
514	2217	10699
515	2221	10694
516	2225	10688
517	2229	10682
518	2233	10677
519	2237	10671
520	2241	10666
521	2245	10661
522	2249	10655
523	2254	10650
524	2258	10645
525	2262	10639
526	2266	10634
527	2270	10629
528	2274	10623
529	2278	10618
530	2282	10612
531	2286	10607
532	2290	10601
533	2294	10596
534	2298	10591
535	2302	10586
536	2306	10580
537	2310	10575
538	2314	10569
539	2319	10564
540	2323	10559
541	2327	10553
542	2331	10548
543	2335	10543
544	2339	10536
545	2343	10531
546	2347	10525
547	2351	10520
548	2355	10515
549	2359	10509
550	2363	10504
551	2367	10498
552	2371	10493
553	2375	10488
554	2379	10483
555	2383	10478
556	2387	10472
557	2391	10467
558	2396	10462
559	2400	10457
560	2404	10452
561	2408	10447
562	2412	10441
563	2416	10436
564	2420	10431
565	2424	10426
566	2428	10421
567	2432	10415
568	2436	10410
569	2440	10405
570	2444	10400
571	2448	10395
572	2453	10390
573	2457	10384
574	2461	10379
575	2465	10374
576	2469	10369
577	2473	10364
578	2477	10359
579	2481	10354
580	2485	10349
581	2489	10344
582	2493	10339
583	2497	10333
584	2502	10328
585	2506	10323
586	2510	10318
587	2514	10313
588	2518	10308
589	2522	10303
590	2526	10298
591	2530	10293
592	2534	10288
593	2538	10282
594	2542	10277
595	2546	10272
596	2550	10267
597	2554	10262
598	2559	10257
599	2563	10252
600	2567	10247
601	2571	10242
602	2575	10237
603	2579	10232
604	2583	10227
605	2587	10222
606	2591	10217
607	2595	10212
608	2599	10207
609	2603	10202
610	2607	10197
611	2612	10192
612	2616	10187
613	2620	10182
614	2624	10177
615	2628	10172
616	2632	10167
617	2636	10162
618	2640	10157
619	2644	10152
620	2648	10147
621	2653	10142
622	2657	10137
623	2661	10133
624	2665	10128
625	2669	10123
626	2673	10119
627	2677	10114
628	2681	10108
629	2685	10104
630	2689	10099
631	2694	10094
632	2698	10089
633	2702	10084
634	2706	10079
635	2710	10074
636	2714	10069
637	2718	10064
638	2722	10059
639	2726	10054
640	2730	10049
641	2734	10044
642	2738	10039
643	2742	10034
644	2747	10030
645	2751	10026
646	2755	10021
647	2759	10016
648	2763	10011
